,feature_set,model_name,accuracy_score,precision_score,recall_score,f1_score
8,all_features,Support Vector Machine,0.806949806949807,0.8099551965637365,0.806949806949807,0.8061933520690733
8,all_features_excl_tfidf,Support Vector Machine,0.7992277992277992,0.8005992468840766,0.7992277992277992,0.797894575572528
8,all_features_excl_univ,Support Vector Machine,0.7963320463320464,0.7966964264642282,0.7963320463320464,0.7944222709312363
2,all_features_excl_tfidf,Random Forest,0.7895752895752896,0.7902123296007559,0.7895752895752896,0.7857587338490285
2,all_features,Random Forest,0.7866795366795367,0.7899199510430391,0.7866795366795367,0.7843865223074695
2,all_features_excl_univ,Random Forest,0.7847490347490348,0.7859448097404372,0.7847490347490348,0.7807299283181001
8,all_features_excl_penn,Support Vector Machine,0.7818532818532818,0.7825762824261818,0.7818532818532818,0.7804897111112148
7,all_features,K Nearest Neighbor,0.7760617760617761,0.784764260656028,0.7760617760617761,0.7746310703308871
2,pos_freq_combo,Random Forest,0.7760617760617761,0.7730125612554241,0.7760617760617761,0.7717021787403213
7,all_features_excl_tfidf,K Nearest Neighbor,0.7712355212355212,0.7766264694362539,0.7712355212355212,0.7705590227844575
8,pos_freq_combo,Support Vector Machine,0.7683397683397684,0.7617580143581087,0.7683397683397684,0.7635275080036252
8,pos_freq_penn,Support Vector Machine,0.7664092664092664,0.7575357117675977,0.7664092664092664,0.7609883504227422
2,pos_freq_penn,Random Forest,0.7625482625482626,0.7622975198365137,0.7625482625482626,0.7563453302936413
1,all_features_excl_tfidf,Stochastic Gradient Descent,0.7567567567567568,0.7550242544568271,0.7567567567567568,0.7549884431559531
7,all_features_excl_univ,K Nearest Neighbor,0.7567567567567568,0.7650486012855634,0.7567567567567568,0.7546469296731397
2,all_features_excl_penn,Random Forest,0.7480694980694981,0.7500440789471291,0.7480694980694981,0.7464205261036
7,pos_freq_combo,K Nearest Neighbor,0.749034749034749,0.7456436724645386,0.749034749034749,0.743192068982696
1,pos_freq_combo,Stochastic Gradient Descent,0.7374517374517374,0.7349255959752488,0.7374517374517374,0.730977309151742
7,pos_freq_penn,K Nearest Neighbor,0.7335907335907336,0.731966643836536,0.7335907335907336,0.7293816658359725
7,all_features_excl_penn,K Nearest Neighbor,0.7268339768339769,0.7338289268445416,0.7268339768339769,0.7262868121424793
5,all_features,GradientBoosting,0.7364864864864865,0.7153276419906376,0.7364864864864865,0.7256614421473385
1,all_features,Stochastic Gradient Descent,0.7374517374517374,0.7425884361417461,0.7374517374517374,0.72118405530441
