packageName,title,year,region,issues,pages,downloadSize,link
ALG_1862.tar.gz,Albertland Gazette,1862,Auckland,2,8,"230,632",https://paperspast.natlib.govt.nz/opendata/titles/ALG/ALG_1862.tar.gz
ALG_1863.tar.gz,Albertland Gazette,1863,Auckland,5,20,"869,397",https://paperspast.natlib.govt.nz/opendata/titles/ALG/ALG_1863.tar.gz
ALG_1864.tar.gz,Albertland Gazette,1864,Auckland,4,16,"670,881",https://paperspast.natlib.govt.nz/opendata/titles/ALG/ALG_1864.tar.gz
AG_1879.tar.gz,Ashburton Guardian,1879,Canterbury,36,214,"29,531,453",https://paperspast.natlib.govt.nz/opendata/titles/AG/AG_1879.tar.gz
AG_1880.tar.gz,Ashburton Guardian,1880,Canterbury,188,763,"132,103,901",https://paperspast.natlib.govt.nz/opendata/titles/AG/AG_1880.tar.gz
AG_1881.tar.gz,Ashburton Guardian,1881,Canterbury,223,902,"156,534,195",https://paperspast.natlib.govt.nz/opendata/titles/AG/AG_1881.tar.gz
AG_1882.tar.gz,Ashburton Guardian,1882,Canterbury,152,612,"107,114,703",https://paperspast.natlib.govt.nz/opendata/titles/AG/AG_1882.tar.gz
AG_1883.tar.gz,Ashburton Guardian,1883,Canterbury,234,938,"172,724,121",https://paperspast.natlib.govt.nz/opendata/titles/AG/AG_1883.tar.gz
AG_1884.tar.gz,Ashburton Guardian,1884,Canterbury,144,576,"104,550,211",https://paperspast.natlib.govt.nz/opendata/titles/AG/AG_1884.tar.gz
AG_1885.tar.gz,Ashburton Guardian,1885,Canterbury,226,904,"164,823,203",https://paperspast.natlib.govt.nz/opendata/titles/AG/AG_1885.tar.gz
AG_1886.tar.gz,Ashburton Guardian,1886,Canterbury,208,832,"153,326,261",https://paperspast.natlib.govt.nz/opendata/titles/AG/AG_1886.tar.gz
AG_1887.tar.gz,Ashburton Guardian,1887,Canterbury,309,1250,"219,699,666",https://paperspast.natlib.govt.nz/opendata/titles/AG/AG_1887.tar.gz
AG_1888.tar.gz,Ashburton Guardian,1888,Canterbury,309,1237,"222,895,282",https://paperspast.natlib.govt.nz/opendata/titles/AG/AG_1888.tar.gz
AG_1889.tar.gz,Ashburton Guardian,1889,Canterbury,310,1244,"221,886,422",https://paperspast.natlib.govt.nz/opendata/titles/AG/AG_1889.tar.gz
AG_1890.tar.gz,Ashburton Guardian,1890,Canterbury,309,1240,"205,045,722",https://paperspast.natlib.govt.nz/opendata/titles/AG/AG_1890.tar.gz
AG_1891.tar.gz,Ashburton Guardian,1891,Canterbury,308,1247,"201,543,878",https://paperspast.natlib.govt.nz/opendata/titles/AG/AG_1891.tar.gz
AG_1892.tar.gz,Ashburton Guardian,1892,Canterbury,311,1270,"182,410,561",https://paperspast.natlib.govt.nz/opendata/titles/AG/AG_1892.tar.gz
AG_1893.tar.gz,Ashburton Guardian,1893,Canterbury,306,1238,"172,250,749",https://paperspast.natlib.govt.nz/opendata/titles/AG/AG_1893.tar.gz
AG_1894.tar.gz,Ashburton Guardian,1894,Canterbury,307,1231,"173,445,229",https://paperspast.natlib.govt.nz/opendata/titles/AG/AG_1894.tar.gz
AG_1895.tar.gz,Ashburton Guardian,1895,Canterbury,307,1228,"179,780,238",https://paperspast.natlib.govt.nz/opendata/titles/AG/AG_1895.tar.gz
AG_1896.tar.gz,Ashburton Guardian,1896,Canterbury,292,1173,"173,448,665",https://paperspast.natlib.govt.nz/opendata/titles/AG/AG_1896.tar.gz
AG_1897.tar.gz,Ashburton Guardian,1897,Canterbury,299,1197,"176,053,539",https://paperspast.natlib.govt.nz/opendata/titles/AG/AG_1897.tar.gz
AG_1898.tar.gz,Ashburton Guardian,1898,Canterbury,305,1220,"173,592,820",https://paperspast.natlib.govt.nz/opendata/titles/AG/AG_1898.tar.gz
AG_1899.tar.gz,Ashburton Guardian,1899,Canterbury,303,1212,"171,609,359",https://paperspast.natlib.govt.nz/opendata/titles/AG/AG_1899.tar.gz
AS_1870.tar.gz,Auckland Star,1870,Auckland,219,874,"90,672,236",https://paperspast.natlib.govt.nz/opendata/titles/AS/AS_1870.tar.gz
AS_1871.tar.gz,Auckland Star,1871,Auckland,292,1170,"143,713,159",https://paperspast.natlib.govt.nz/opendata/titles/AS/AS_1871.tar.gz
AS_1872.tar.gz,Auckland Star,1872,Auckland,287,1148,"185,084,478",https://paperspast.natlib.govt.nz/opendata/titles/AS/AS_1872.tar.gz
AS_1873.tar.gz,Auckland Star,1873,Auckland,307,1232,"229,566,832",https://paperspast.natlib.govt.nz/opendata/titles/AS/AS_1873.tar.gz
AS_1874.tar.gz,Auckland Star,1874,Auckland,310,1278,"220,522,562",https://paperspast.natlib.govt.nz/opendata/titles/AS/AS_1874.tar.gz
AS_1875.tar.gz,Auckland Star,1875,Auckland,309,1326,"243,769,474",https://paperspast.natlib.govt.nz/opendata/titles/AS/AS_1875.tar.gz
AS_1876.tar.gz,Auckland Star,1876,Auckland,307,1360,"264,445,711",https://paperspast.natlib.govt.nz/opendata/titles/AS/AS_1876.tar.gz
AS_1877.tar.gz,Auckland Star,1877,Auckland,309,1260,"271,642,778",https://paperspast.natlib.govt.nz/opendata/titles/AS/AS_1877.tar.gz
AS_1878.tar.gz,Auckland Star,1878,Auckland,307,1232,"268,805,424",https://paperspast.natlib.govt.nz/opendata/titles/AS/AS_1878.tar.gz
AS_1879.tar.gz,Auckland Star,1879,Auckland,303,1214,"343,335,095",https://paperspast.natlib.govt.nz/opendata/titles/AS/AS_1879.tar.gz
AS_1880.tar.gz,Auckland Star,1880,Auckland,306,1226,"373,636,810",https://paperspast.natlib.govt.nz/opendata/titles/AS/AS_1880.tar.gz
AS_1881.tar.gz,Auckland Star,1881,Auckland,307,1314,"401,502,992",https://paperspast.natlib.govt.nz/opendata/titles/AS/AS_1881.tar.gz
AS_1882.tar.gz,Auckland Star,1882,Auckland,306,1421,"413,098,563",https://paperspast.natlib.govt.nz/opendata/titles/AS/AS_1882.tar.gz
AS_1883.tar.gz,Auckland Star,1883,Auckland,308,1518,"418,250,933",https://paperspast.natlib.govt.nz/opendata/titles/AS/AS_1883.tar.gz
AS_1884.tar.gz,Auckland Star,1884,Auckland,310,1474,"436,488,151",https://paperspast.natlib.govt.nz/opendata/titles/AS/AS_1884.tar.gz
AS_1885.tar.gz,Auckland Star,1885,Auckland,308,1431,"438,571,038",https://paperspast.natlib.govt.nz/opendata/titles/AS/AS_1885.tar.gz
AS_1886.tar.gz,Auckland Star,1886,Auckland,307,1508,"478,283,779",https://paperspast.natlib.govt.nz/opendata/titles/AS/AS_1886.tar.gz
AS_1887.tar.gz,Auckland Star,1887,Auckland,309,2372,"490,541,211",https://paperspast.natlib.govt.nz/opendata/titles/AS/AS_1887.tar.gz
AS_1888.tar.gz,Auckland Star,1888,Auckland,309,2434,"465,574,827",https://paperspast.natlib.govt.nz/opendata/titles/AS/AS_1888.tar.gz
AS_1889.tar.gz,Auckland Star,1889,Auckland,308,2332,"470,600,026",https://paperspast.natlib.govt.nz/opendata/titles/AS/AS_1889.tar.gz
AS_1890.tar.gz,Auckland Star,1890,Auckland,308,2268,"466,445,381",https://paperspast.natlib.govt.nz/opendata/titles/AS/AS_1890.tar.gz
AS_1891.tar.gz,Auckland Star,1891,Auckland,309,2316,"477,408,592",https://paperspast.natlib.govt.nz/opendata/titles/AS/AS_1891.tar.gz
