ALG,Albertland Gazette
AG,Ashburton Guardian
AS,Auckland Star
BH,Bruce Herald
BA,Bush Advocate
CHARG,Charleston Argus
CL,Clutha Leader
TC,Colonist
CROMARG,Cromwell Argus
DSC,Daily Southern Cross
DTN,Daily Telegraph
DUNST,Dunstan Times
ESD,Evening Star
FS,Feilding Star
GLOBE,Globe
GBARG,Golden Bay Argus
GRA,Grey River Argus
HAST,Hastings Standard
HNS,Hawera & Normanby Star
HBH,Hawke's Bay Herald
HBT,Hawke's Bay Times
HBWT,Hawke's Bay Weekly Times
HLC,Hot Lakes Chronicle
IT,Inangahua Times
KUMAT,Kumara Times
LCP,Lake County Press
LWM,Lake Wakatip Mail
LTCBG,Lyell Times and Central Buller Gazette
LT,Lyttelton Times
MH,Manawatu Herald
MS,Manawatu Standard
MT,Manawatu Times
MEX,Marlborough Express
ME,Mataura Ensign
MIC,Mount Ida Chronicle
MTBM,Mt Benger Mail
NEM,Nelson Evening Mail
NZABIG,New Zealand Advertiser and Bay of Islands Gazette
NZCPNA,New Zealand Colonist and Port Nicholson Advertiser
NZGWS,New Zealand Gazette and Wellington Spectator
NZSCSG,New Zealand Spectator and Cook's Strait Guardian
NZTIM,New Zealand Times
NOT,North Otago Times
NA,Northern Advocate
OAM,Oamaru Mail
TO,Observer
OG,Ohinemuri Gazette
OPUNT,Opunake Times
ODT,Otago Daily Times
OW,Otago Witness
OO,Oxford Observer
PATM,Patea Mail
PGAMA,Pelorus Guardian and Miners' Advocate.
PBH,Poverty Bay Herald
CHP,Press
SCANT,South Canterbury Times
SOCR,Southern Cross
ST,Southland Times
TS,Star
TH,Taranaki Herald
TAN,Te Aroha News
TEML,Temuka Leader
THA,Thames Advertiser
THS,Thames Star
THD,Timaru Herald
TT,Tuapeka Times
VT,Victoria Times
WAIGUS,Waikato Argus
WT,Waikato Times
WDA,Waimate Daily Advertiser
WDT,Wairarapa Daily Times
WAIST,Wairarapa Standard
WC,Wanganui Chronicle
WH,Wanganui Herald
WI,Wellington Independent
WCT,West Coast Times
WSTAR,Western Star
WEST,Westport Times
WOODEX,Woodville Examiner
