,date,newspaper_id,newspaper,article_id,title,text,pred,prob_1,newspaper_web
56,1889-09-28,NA,Northern Advocate,1,BIRTH.,"SISSONS.-On September 26th, the wife of Hy. Hall Sissons of a son.",1.0,0.9999975445112774,https://paperspast.natlib.govt.nz/newspapers/northern-advocate/1889/09/28
88,1895-01-16,WSTAR,Western Star,3,MONEY ORDERS.,"By Tost ,",1.0,0.9998747866863522,https://paperspast.natlib.govt.nz/newspapers/western-star/1895/01/16
87,1895-01-16,WSTAR,Western Star,2,Shipping.,"<*_ HIGH WATER. PHASES OF THE HOOK JANUARY. First Quarter, 4th; Full Moon, 11th Last Quarter, 18ih; Now Moon, 26th.",1.0,0.886545088581955,https://paperspast.natlib.govt.nz/newspapers/western-star/1895/01/16
1,1859-11-05,TH,Taranaki Herald,2,ABSTRACT OF AUCTION SALES.,"Mr F. U. Gleduill. — This day, at his mart, De von street, bacon, flour mills, tea, &c. At New. market, at 3 o'clock, 120 young ewes, 4 pairs woiking bullocks, mare, pony, 2 geldings, cows and young stock. Mb ""W. Weston. — On Thursday ne\t, at 1 o'clock, at Feinlee, Omata, Mr A. McKellai's annual surplus stock, consisting of 100 fat wethers, cons, young stock, cait colt.",0.0,0.17177398639602867,https://paperspast.natlib.govt.nz/newspapers/taranaki-herald/1859/11/05
13,1859-11-05,TH,Taranaki Herald,14,ENGLAND'S STAKE IN THE ITALIAN OUESTION.,"[From the Morning Post.""] Could the persons who even for a moment dreamed Of supporting Lord Elcho's motion, could they really be aware of the commercial interests which England has at stake in the Italian question, and of the de gree in which those interests would be affected by the constitution of an Italian confederation 1 Should the provisions of the treaty of Villafranca be carried out in the direct and modified form in which they are at present known to us, we shall speedily witness the interruption of all commerce with a great popu lation of 26,000,000, which, if left to the unfettered exercise of the national will, to the adoption of na tional opinions, and to the securing of national in terests in commercial policy, would be our best cus tomers in Europe. With Austrian influence para mount in Italy — with an Austrian policy forced on, and adopted by the federal diet — Italy would soon exhibit a southern customs' league as closely barred against English products as the commercial confe deration in the north. Not Sardinia alone, the whole of Italy as well will be absorbed in the Aus trian' commercial system, if Austria be enabled to dictate, through governments nominally independent but virtually subject to her control, the commercial relations of the different Italian states. Indeed, matters far from having improved, will be far worse than they were before. Austria, which in 1852, at tempted to extend the customs' league to the utter most point of Tuscany, by seeking to include within its bounds the three duchies, was then foiled in the attempt, chiefly through the energy of Sir Henry Bulwer, and was compelled to remain satisfied with the sole addition of Parma and Modena. Even that league was broken up by the firm and patriotic con duct of the sovereign of Parma, and Austria was, in consequence, compelled to enter into a separate treaty (in direct violation, as Count Cavour proved, of previous engagements) with the Duchy of Mode na. The resistance of Tuscany to every attempt on the pait of Austria to obtain the abandonment of the enlightened system of commercial liberty long re cognised as a fundamental piinciple of the state has been continuous and hitherto successful. But all this will avail nothing if, by the provisions of the treaty of Villafranca, unmodified, almost unnoticed by England, a power shall bo vested in Austria of dictating; through her Roman, Neapolitan, Moden ese, and Tuscan representatives, as well as enforcing by her own direct influence at the Roman diet, the whole relations of Italian trade with the other Euro pean states. We suspect that before the lapse of many months a considerable change would be per ceptible in the tone of some very worthy members, when they found as the practical result of their non intervention theories, a great falling-offin their ba lance-sheets, which have hitherto borne testimony to very substantial profits in the Italian markets. We are almost malicious enough to wish that a slight pecuniary martyrdom might enable these worthy poisons to exhibit their perfect readiness to suffer for their faith, and to adorn by the heroism of self sacrifice their peculiar doctrines on foreign policy.",0.0,0.011508684355096265,https://paperspast.natlib.govt.nz/newspapers/taranaki-herald/1859/11/05
24,1897-12-02,LCP,Lake County Press,4,WEEKLY SHARE REPORT.,"Harman Reeves, Sharebroker, Rattray street, Dunedin, reports as follows for week, ended November 27th, 1897 : Banks—National, £2 2s, £2 3s 6d Insurance—National, 16s, 17s;. ~ —Standard, 14s, 15s Dredging—Otago 265, 275. —Clyde £2 os £2 10? —Golden Treasure, £2 10s, £2 Iss —Sow Hoy, fld, 9d ♦ Dunedin, 5s 6d, 6s fld Enterprise, £2 3s, £2 10s.. —Golden Gate, * 255, 26s —Golden Run, 21s, 22s —Upper Waipori (p.), 3s, 3s fld. ~ ~ (contrib.), 2s fld, 3s Putland Flt (p.), 6s fld, 7s. ~ ~ (contrib.) fls, fls fld —Ettrick (vendors), 235, 23s fld ~ (contrib.), 21s, 225. —Golden Crown, 21s, 22s —Roxburgh Dredge, sellers 5s —Nevis, 19s, 20a Magne.tie, Is dis., Hartley and Riley, par —Molyueaux Hydraulic (b.), 30s, 32s fld —Golden Beach (eontiib.), par —Evans Flat, par —Roxburgh Amalgam (p.), 7s, Ss • ~ ~ (contrib.), fls, 7s. —Waipori Deep Lead, Is, Is 3d —Moonlight (contrib.), 455, 50s, —Deep Stream, 21s fld, 22s 6J —Golden Point (contrib.), fld dis.",0.0,0.0012596149811561408,https://paperspast.natlib.govt.nz/newspapers/lake-county-press/1897/12/02
20,1859-11-05,TH,Taranaki Herald,21,UNTITLED,"The Hon. E. W. Stafford, Colonial Secretary of New Zealand, has had an interview with his Grace the Duke of Newcastle at the Colonial Office. Sir Charles Clifford, Mr Thomas H. Gladstone, and Mr John Gladstone, had an interview with hit Grace, on Tuesday, at the Colonial Office. — Aus tralian If New Zealand Gazette. [Printed by G. \Y. Wooti.}",0.0,0.0006844230674266131,https://paperspast.natlib.govt.nz/newspapers/taranaki-herald/1859/11/05
4,1859-11-05,TH,Taranaki Herald,5,UNTITLED,"By the last English mail we received the first number of The Old Folks at Home, a journal established evidently with the view of promoting extended commercial relations between the New Zealand colonists and the port of Liverpool. The title, the judicious admonition conveyed in the motto, and the kindly tone of the introductory article of this little "" Messenger of love "" cannot fail to gratify all, and will be appreciated by most of our readers, few of whom can, un moved, think of the dear old Jolh in the dear old country. Most earnestly do we desire that the kindly feeling which at pre sent exists between the noble parent state and her vigorous offspring may be fostered and never diminish, so that when in the natural course of events parental contiolis removed, reciprocal affection may subsist unimpaired. If, in some future age, the New Zealander (spoken of by Lord Macaulay), shall stand on a broken arch of London bridge and contemplate the ruins of St. Paul's, we trust that it will be rather with the feel ings of an affectionate child grieving over the cherished remains of a departed parent, than with the mere pride of a descendant of the most powerful nation recorded in his tory, musing on its mighty power and imperishable glory, and mourning over its departed grandeur. Those parties in the mother country (for we cannot consider them statesmen) who desire to sever the tie between Great Bri tain and her Anglo-Saxon colonies on the plea of their enormous cost to the mother country, would do well to consider if the annual expense entailed is not more than counterbalanced by the vast outlet they afford to the pauper population of Great Britain, which would otherwise be main tained by the poor rates, but which emi grates at the cost of those colonies, with its home habits and wants, the former too con firmed to be ever abandoned, and the latter, so thoroughly inbred as to preclude the substitution even of a superior foreign ar ticle, for the home manufacture which long use has rendered indispensable. Thou sands who would otherwise have been paupers at home, have emigrated to the Australian Colonies, and New Zealand, to aid in the production of staple commodities for the manufacturing of which, England has been famed from time immemorial, to develop the mineral resources of their adopted country, and to become large and profitable purchasers of British manufac tures. Their exports of Gold, Wool, Flax, and Tallow, and we trust soon be able to add Cotton, must materially contribute to the wealth of the parent state. To the Old Folks at Home, we say God bless you ! To our new born friend, God speed !",0.0,0.0005779825623149789,https://paperspast.natlib.govt.nz/newspapers/taranaki-herald/1859/11/05
35,1878-10-22,WEST,Westport Times,2,THE WEATHER.,"Wellington, 4.40 p.m., 21st Indications show that glass likely to fall again soon. Wind back within 24 hours. R, A. EmvrN"", R.N.",0.0,0.0005325845436606411,https://paperspast.natlib.govt.nz/newspapers/westport-times/1878/10/22
79,1889-09-28,NA,Northern Advocate,24,GLADSTONE AND IRELAND.,"London, September 25. Mr Gladstone, in the course of a speech last night, said the coercive measures adopted by the Government in relation to the Irish people, only induced the latter more closely to conserve their interests.",0.0,0.00039691121748118194,https://paperspast.natlib.govt.nz/newspapers/northern-advocate/1889/09/28
