,date,newspaper_id,newspaper,article_id,title,text,pred,conf,newspaper_web,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,1854-07-08,OW,Otago Witness,3,ORIGINAL CORRESPONDENCE.,"To the Editor of the Otago Witness. Sir, — My attent'on has been directed to an arti cle on the New Zealand Company's Land Sale in your last paper, in which is inserted certain spiteful remarks, written with the evident object of doing me an injury. Your remarks are so obviously im prudent, and the character of your paper so gene rally appreciated, that I could afford to pass it with out notice, were it not for the opinion of some that an untruth ought not to go uncontradicted. It is for your readers to judge of your policy in obtruding upon them the private matters of indhiduals, even though they be those of your friend versus your humble servant. But has your friend been injured by the sale of the proj erty alluded to ? It may be ascertained upon inquiry that Mr. Adam has made arrange ments for residing in the country, and with this ob ject has endeavoured to sell his house to several in dividuals, proving that he did not for his own use require the land upon which it is erected ; and as under the liberal arrangements of the Commissioner of Crown Lands he was allowed a much higher va luation than he had previously asked, it was gene rally and justly inferred that the transfer of the pro perty into other hands would not in the slightest degree inconvenience Mr. Adam. And that lam under any obligation to your fiiend — as you allege — is most provokingly false, as may be shewn from the fact that he called upon me twice for the purpose of obtaining my consent to allow him to put in my pro perty along with his own for valuation, on purpose that"" the whole might be put up to auction under his name, but which I refused to allow. Mr. Adam, therefore, could not prevent the section being divid ed. And again that the reply which you say he made to Mr. Man tell was not sincere, and that the case of sympathy for him, which you endeavour to hang upon it, is groundless, may at once be^ proved by a reference to documents now in my possession, and which you may at any time see, shewing that Mr. Adam has lately used his best endeavour to eject me from the property, and only gai c up the process when he discovered that he had no chance of success. And, Mr. Editor, equally untrue and less excusable is your remark that there was a gene ral expression of disapprobation at the sale. I refer to any other person who was there present if there was any the slightest visible signs of such. And it is only another example of how far and for how low and mean an object you will prostitute your pen when it suits your purpose. — I am, &c, John Sidey. P.S. — I would here once for all caution your 'friend of the base and untruthful report which he is endeavouring to circulate.— J. S. ■ [We pass over Mr. Sidey s remarks regarding our selves as -unworthy of notice. The documents to which'he refers, we think, would be as uncreditable to him as the transaction which gave rise, to our re marks, _ The facts referred to are these: Mr. Adam complained to Mr. Sidey of the nuisance connected with the dressing of his sheep-skins, and had ulti mately to employ Mr. Harris to request Mr. Sidey to remove , the cause , of the nuisance, or otherwise to purchase his- (Mr. Adam's) interest in the section. Mr. Sidey 'b, reply, Which will no doubt be "" gener ally appreciated"" for its prudent style and "" charac- . ter,"" was as follows. — Ed.] :—: — Dunedin, May 18th, 1853. Sm, — In answer to your letter of 16th inst. I hope to be able to resist every attempt at imposition, even though the impostor be a good Christian You may therefore tell the Psalmer singer and his backer to go to work. — Yours truly, John Sidey. J. H. Harris, Esq. First of a Series — Liberty of the Subject. Mr. Editor, — I wish to be informed whether a Court of Equity (so called) is established in Otago ? If so, you will much oblige by acquainting myself and others as to the particular parties or party as piring to the jurisdiction of the said Court. Having recently been a victim to despotism, I am the more inclined to solicit your advice publicly.— V""ours, &c. Henry Manning. [We presume Dr. Manning is aware that the Re sident Magistrate, or any two Members of the Bench, cs.n sit on any case ; and that under the Resident Magistrate's Ordinance, the Court is a Court of Law or Equity. — Ed.]",1,2.776124961,https://paperspast.natlib.govt.nz/newspapers/otago-witness/1854/07/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1896-11-09,OAM,Oamaru Mail,6,UNTITLED,"Keep your eye on Olayton, Gardiner, and Co.'b adv rtisemenfc over the leader. It changes often If you are siok in any way whatever, Bend a stamped envelope to our Agenoy, Welling ton; state the case as minutely as possible and you receive advice by return post. Our gents are all qualified. If you enolose 2a 6d we will send you our best remedy for the ase, lasting you two weeks. You save money and doctors' bills. You receive advice on all points, and the purest.of remedies sent at no extra cost than if per* Bonally bought by doing your business with us by post. Consult at once. Ailments whioh are, at the time, thought to be light, are often the beginning of serious conse quences, whioh if taken in time are ohejjhjed and cured Greatford Botanical Comwny Wellington; and at Sydney, Melbo&f o - Cape Town and Lincoln, England ■",1,2.238358884,https://paperspast.natlib.govt.nz/newspapers/oamaru-mail/1896/11/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1895-08-08,OW,Otago Witness,37,The Edendale Dairy School.,"TO THB BDITOB. Sin, — Having been a student at the Edendale Dairy School, I should like to make a few rtmaika on the letter of ""Factory Man"" in the last issue of the Witness. He says he bas received a sample of the Edendale Dairy School butter, and after speaking highly of its flavour, colour, texture, &c., he says that ""it is most unmistakably streaked or marbled right through the sample."" He farther asserts that (he cause cannot be ""for want of sufficient working — rather tho other way."" Having Said to much, I will attempt to explain the oauie of the streakiness. During the three weeks I was at the dairy school there was only one day's churning, to far as I am aware, that was streaky, and ""Factory Man"" p'o bably received a sample from that churning. The lot I referred to was overcburned, and more than that, it received too much working before the salt was incorporated with it. We Lad to judge the butter every d*y, and I asked Sir Buisk the cause of the streakiness, his reply being that it was due to the salt not having been properly worked in ib. Having had con siderable experienoe in butter-makiDg, I quite agree with our teacher's explanation, and I may Add that long before I went to the dairy school I attributed the cause of straakißess to the salt not having been properly mixed with the butter. It is alwajs possible to guard against streaky butter, but accidents will happen, even where the conditions are most favourable. Perhaps yon will allow me to add that I bave a high •pinion of the knowledge of dairy matters pos sessed by all the teachers at the school, and that the information imparted must be of great advantage to the whole of the students. — I am, fee.. Dairymaid. Gore, August 5.",1,2.112179058,https://paperspast.natlib.govt.nz/newspapers/otago-witness/1895/08/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1896-11-09,OAM,Oamaru Mail,28,MAJOR STEWARD'S MEETING.,"TO THE EDITOK. Sir,—ln your issue of the 4th inst. 1 read the report of Major Steward's address, and consider it political claptrap and gross misrepresentation, particularly that portion of the report of the questions put and nbt answered. At the close of his address he told the meeting that the Land for Settlement Scheme was a pro nounced success ; yet, in the face of this statement, why was a sum of money placed upon the Estimates to enable the Minister of Lands to farm a portion of the Pomahaka? The Major did not answer these questions. Then, again, there were about 394 divisions taken in the House during the late session. How many did the Major vote for 1 About 25. Does the gallant Major suppose we sent him to Wellington to sit upon a rail during the session? Certainly not. Then, again, the Major said he supported the banking legislation to prevent a dire calamity be falling the colony. Yet he said in the House that he regretted recording his vote in supporting this measure. How does he reconcile this statement ? Then, again, when he voted against the Usury Prevention Bill introduced by Mr Seddon, he said he was not aware that he had done so. Now, in the face of all this misrepre sentation, the gailanc Major,stands con demned. I, sir, ask the electors, to"" pori der over these facts, as our worthy Major in the field is a candidate determined to go to to the poll in the Government in terest, on a very advanced platform. They, like myself, will judge the candi dates upon their merits, and will, on the day of the poll, record their vote for the most fit and proper candidate that is worthy of the representation of the Wai taki electorate.—lam, etc: Scrutator.",1,2.027977795,https://paperspast.natlib.govt.nz/newspapers/oamaru-mail/1896/11/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,1876-02-17,AS,Auckland Star,21,A TRIBUTE TO GENIUS.,"Vex not thou the Poet's mind With thy shallow wit, Vex not thou the Poet's mind, ,•.; For thou canst not fathom it.' . g , . — Tennyson. (To the Editor of the Star.) g lE . —When the poet laureate wrotei the stanza above quoted, he surely must have had in his mind's eye, a prophetic forecast oi the dawn of a brother bard, whose lyrical ef fusions would be destined to shed an unfad ing lustre on his illustrious name, and illumine'the age and country in which he wrote. Need I say I allude to the sweet lyrist who nightly thrills all hearts with his touching melodies, drawn from that pure well of inspiration, the Police Court? So great is my admiration of this charm ing poet, whose graceful imagery and playful fancy remind one of Owen Meredith. and Catnach, of the Dials, that I would fain in my enthusiasm, echo the aspiration of the Swan of Avon, when he puts in the mouth of ODe of his creations the following aspiration : Oh, that the fountain of thy mind were a well that I might water an ass at it! . The animal would needs grow' sleek and plump by sipping at such a Helicon, and might in time bray forth in tuneful numbers stanzas that would be quoted side by side with the following flowing versicles :— Oh. that I might live and die With the Maid ot Ponson-by. 'Twere sweet to breath my la+est sigh For thee, sweet Maid of Ponson-by. On earth no other charms c*n vie. With thine, dear Maid of Ponson-by. 7 'lis futile—vainly do I try To paint the Maid of Ponson-by. With rapture I exclaim "" Oh, my Ecstatic Maid of Ponson-by, No sum could e'er the graces buy, That deck the Maid of Ponson by. My eye! ,5„. Au o__A.__'S li_TO_A_B. The theme is inexhaustible. In conclusion, why, oh why, waß the legend of Joseph and Mary not done into poetry a la Wemmick? Was the spring of inspiration temporarily choked up ? Was the Toper Ehymster not up to the mark ? To miss Buch a magnificent theme—such scope for ingenious rhymes— for instance :— Shindies they had had by dozens, Scarcely were they cater cousins. Though guiltless of alleged offences, The plaintiff paid the law exoenses ; The Bench observed it would leel pain, • > If e'er they came to Court again. Here was a chance for a domestic epic, and to be ruthlessly thrown away. I sincerely trust such a disappoinment will not be again inflicted upon Boothitts Secondus.",1,2.007840907,https://paperspast.natlib.govt.nz/newspapers/auckland-star/1876/02/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,1895-08-08,OW,Otago Witness,80,A REMONSTRANCE.,"TO THE EDITOR. Sir,— 'l was very much surprised to see in your ' itsue of tho 27th inst. a letter over the signature -of J. G. Ward, in which I am rather roughly ""handled. My first thought was, can this S'gna tore be that of the great J. G. Ward, who has 'lately made -a triumphal march through two forming alliances and arranging treaties right and left f cam Japan to Vancouver Island, astonishing the financial magnates of the ;Old World, and even "" flattening out"" the •governor of the /Bank of England en route ? Can .it he posssible that 1 have the honour of being .vilified by such a great m»n? I can scarcely .think so. Mr Editor, are you certain that you .are. not being made the victim of a cruel hoax ? ""I would expect that one who has rubbed -noßes .with royalty in the person of the ""first , gentleman in Europe,"" not to mention Ripon And other smaller fry (my patriotism prevents me .-from even hinting at a celebrated inteiview with ihe London Chamber of Commerce), could not be the author of 11m letter referred to. Still, nearly .all great men have their weaknesses. 1 here was, for instance, Alexander the (ireit. We all know his weakness— Scotch whisky. The great Napo leon w*B vain of his personal appearance ; and why should not the great J. 6. W. have his weakness ? .1 have a'faint recollection of how he floundered in the celebrated binder twine controversy, especi ally in his opening letters, and if he is really the .author of the letter in which I have the honour of being. vilified,! am inclined to think that intern ...perate effusions to the press are his weak mess. If so, I would strongly xecomniend ''him in future, when he feels it coming on, to retire quietly to the back yard and dance on his hat 'a while, and then write. -Thisplan, if adopted, would have the advantage of concealing to some extent the .failings of the .great man from the vulgar gaze, and his tffusions in the future woulit no doubt show some trace of , -the suavity of manner for which he was so dis tinguished :ere he departed from these shores on his ambassadorial tour. _Is it not strange thst it never seems to have occurred to the great man that a satisfactory ex planation might have been given if he had applied to the proper party, in the u^ual way ; in stead of which he seizes on .a cap, which he says somebody else told him was his, not only puts it on his head, but actually pulls it hard down over -his eyes, and then demands that I should prove that the cap belongs to him. Now, Mr Kditor, is ,that fair ?— I am, &., John M'Queen. Knapdale, July 29.",1,1.987542347,https://paperspast.natlib.govt.nz/newspapers/otago-witness/1895/08/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,1895-08-08,OW,Otago Witness,127,THE TARIFF.,"THE HARDWARE TRADE. The following is a copy tf a letter forwarded to Mr Pinkerton on Saturday morning :—: — Dunedin, 2nd Auguit 1895. David Pinkerton, Esq., M.H.R , Wellington. Sir,—We venture to approach you as senior member for Dunediu, with a view of asking your assistance in an effort to prevent the sudden alterations in the tariff, which were announced On the 31st ultimo, from, causing us a certain loss which, we respectfully beg to submit, is neither necessary nor desirable. What we wish is named in the first part of a resolution which was passed by th» Chamber of Osmmerce in Ohristchurch on the Ist intt., which reads as follows:—""In caves where duties are reduced or abolished we would earnestly recom mend the justice of postponing bringing into operation of the proposals until January 1 next. A similar course has been followed previously both in this and other colonies."" If we bad the time hero asked for, we would cave little difficulty in disposing of our stocks of the lines in question between this and the end of the year, and it would be a very simple matter to place in^bond until then any btocks coming for ward which might not be required for consump tion until the beginning of 1896. We could write many more reasons showing why what we claim is only fair and equitable, but, no doubt, in your position you have made a study of the subject, and will be tetter able than we to advocate our cause with the Colonial Treasurer. Praying that you will place^our views before the Government at the earliest pos.ible moment, and accord us a reply at your convenience, —Wo have, Ac. (Bepreseftting the hardware trade of Dunedin), (Signed by) Arthur Briscoe and Co. N.Z Hardware Company. Thomson, Bridger, and Co. John Edmond. ' Patbrson and Barr.",1,1.962026251,https://paperspast.natlib.govt.nz/newspapers/otago-witness/1895/08/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,1895-08-08,OW,Otago Witness,59,THE BALFOUR TRAGEDY.,"THE S.M.'S REMARKS IN COMMITTING KSOWN. When committing John Keown for trial at Gore on the 31st on a charge of hnving murdered Hugh Stewart on the 20th July near Balfour, Mr Hawkins, S.M., said:— ""l have not to decide the fate of the accused ; that is work reserved to higher tribunal. That an acfe of frightful violence has been committed is unquestionable. The culpability of the accused is not decided here, but as magistrate of this district 1 have to establish the respect for Uw and the maintenance of the principles of public order. There i* a tendency in a certain section of the people — not perhaps entirely unjustified by the present state of the criminal law— to treat some acts of violence against the person as of less gravity than offences against property. That is a very dangerous opinion. It is of greatest importance that persons should be taught the paramount necessity of restrain ing their savage instinct?, of dominating their passions, and of refraining from the use of any sbimuknb which they know diminishes their power of self-control. A civil wrong, real or fancied, offers no excuse whatever for personal violence. In this democratic community the courts of justice are always open, and redress always obtainable. I have been struck with the attitude of a certain number of persons at Riversdale and here. Ido not complain that anybody should entertain sorrow fora criminal — provided that they do not allow that sorrow to interfere with justice, — but it is horrible to think that any man or woman in this colony should have sympathy with crime. I hope that those who have confused the two in their minds will consider what I soy, for no more dangerous evil can rear its head in any community than a sympathy — otiminal OC cowardly, open or dUguhed — with crime. I was compelled to protest this afternoon againsd levity in the audience in- this court, and then referred to acts of cowardice. I want to make ib plain that I - did nob re F er to Middlemias. If fear lent hint wiogs, I bhink he was only too well justified in his fear. He was unarmed and wholly defenoele.Es, and I am glad that he escaped. Tho cowardice I referred td ia that of those wh6 stood by, unquestionably anticipating violence, and, instead of preventing it, who passively acquiesced if they did not actually wsiab. I»m convinced that Hornsey and Windus have nott told bhis court all that they know. It is to ba hoped that in a higher courb they will not per* severe in their course of concealment They have a duty to justice higher than any othec duty whatever.""",1,1.942741211,https://paperspast.natlib.govt.nz/newspapers/otago-witness/1895/08/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,1895-08-08,OW,Otago Witness,219,OVER THE TEACUPS.,"Dear Rbadbks, — As I write the words, and think of what, odds and ends I have fathered for our afternoon's chat, I confess wish I bad something brighter, more amusing — some brilliant flash of oolour for our patchwork. As the hail and sleet drives against the window, and again, surprised by a suspicious stillness, I look up and see the white snowflakes hurrying by in a silent whirling army, my thoughts go, swifter than the snowflake*, to all my country readers. I see the leaden skies and snow-covered plains which look so white and deathlike ; I ccc the ghostly summits of the mountains breaking through the driving mists — all the world bo cruelly cold, all the air made sad and mourn ful by the silence and tho thought that away there in the solitudes the poor silly sheep are penned condemned to slow starvation. I know so well that however cotty and oorn fortable you may be in your pretty dining room or cheery farm kitchen, some thought of loss, of hard times, of Buffering animal life, and, most of all, sympathy for huabandt and sons whose battle with fortune (waged for your sakei) is made so much the hardor by suoh a winter comes to sadden wlvei »nd daughters alike. Thinking thus, I feel ashamed to remember that we town people, sitting over the flro with the morning papor and tho ovoninft paper, the month's maguxlnes and the lost new novel, grumble desperately when tho trams cannot run because of the enow t And snow reminds me to ask you if yon have heard the late«fc of the advanced woman. Bhe is ""to advance still farther, even to the North polo. A lady in to form one of the Austrian North Pole expedition, undertaken by the famoun artist and Arctic explorer, Juleß Payer. The particular lady is also an artist. She asked to be allowed to join the party, and her request baa been granted. Woman wants the whole carth — yea, from the North Pole down to the electoral poll 1 "" By the way, in Blackwood's Magazine for May there is a charming account of Bur mese women. Reading it brings one to the conclusion that they may well be happy, con tent, and noble. "" Nowhere under the sun has any nation accorded to the women snob, absolute freedom, Bush entire command of their lives and property as have the Burmese. They stand in every way on an absolute equality with men as far as law, as religion, and as customs are concerned."" Again we read : "" Married or unmarried, from the age of 16 or 17, every woman has some occupation beside her own home duties."" How charming it sounds, and how difficult to realise unless we set our selves to contrast the elaboration of our lives with the simplicity of theirs ! If the Bur mese women bad all our cumbrous cares of cookery, needlework, changing fashions, and quickly worn-out garments ; if she was a slave to her oarpets. curtains, and furniture, to say nothing of her social duties, I doubt not that her home duties, like ours, dears, would suffice for her. I often think what unending and unnecessary cares our civilisation burdens us with. It makes one long sometimes for a more natural, less highly-improved existence. As you know, I sometimes find things to interest us in the "" Committee of the Whole House "" column of the Leisure Hour. It is by no means an unusual thing for my girl friends in the country to lament their "" shy ness."" Now these girls would have been decidedly interested in one of the questions laid before "" the whole house "" in June. "" Can shyness be overcome ? And what method Bhould be adopted to this end?"" The two chief answers were as follows : — No. 1 took the form of another question, and ran thus : "" Is not shyness one of the many forms assumed by selfishness 1 If people would forget themselves and think of the feelings and claims of others more than of their own they would cease to {be miserably self-conscious — or, In other words, they would cease to be Bhy."" Very gooS advice, and serious withal, but I am not sure that I do not agree more heartily with answer No. 2: — "" I once heard a story of a girl who was ex tremely bashful. ... At last she made up her mind to pray about it, and this was her J prayer: 'Oh Lord, when I have to go amongst other people, give me a good con ceit of -myself.' "" It seems to me that we women of New Zea- ' land are justified in having a reasonably "" good conceit"" of ourselves just now. To "" see ourselves as others see us ' is usually commended as a healthful corrective to vanity, but to see ourselves as others see us may* sometimes apparently be lookiog through rose-coloured spectacles. At the special general meeting held at Whitehall on April 30, when Mr Ward delivered his famous address on New Zealand, an interesting and somewhat informal discussion followed. Several speakers, including the Bishop of Salisbury, commented on our domestic life, servants, wage 3, and other homely topics. The Bishop paid New Zealanders a graceful compliment in these words : ""Itis a great pleasure to travel there and talk with your neighbour in the train, or in their homes. Wherever you go you find the people more intelligent, I think, on the average than in England."" Then Miss May Yates, who "" spent a few most enjoyable months touring ing New Zealand,"" made a few observations, in the course of which she said : "" I have the greatest admiration for the wonderful capa cities of the women, their all-round ability for doing all kinds of domestic work, and yet they are graced with all modern accomplish ments."" It seems to me that we have only to "" live up to "" the standard of such good opinions to be all that our country can desire of us. Filial affection and devotion appeals to all women, and I frankly confess that in reading the interesting sketch of the famous Chinese Viceroy, Li Hurg Chang, I was deeply struck by the detailed account of the great states man's mourning for hiß mother. The character sketch referred to was 'given in the June Review of Reviews, and the writer had been deeply impressed with the depth and sincerity of the Chinese Viceroy's grief, which was evidently no mere formality, but a real potting on of sack cloth and ashes — a starving and morti fying of the flesh. Listen to this gentenoe; "" And yet this was a nobleman, careful as to comeliness in person and the niceties of raiment, rather disposed to ostentation than otherwise. There was every evidence that this the first man in the empire had been as if he vr ere its m ane- t subject— down in the very dost in privation and penance, doing reverence to his mother's memory as appointed by faith."" Do you not find this • picture touohing? I confess I do, though of all coloured races I have least sympathy with the Obinese. In a recent number of the New Zealand Graphic we are honoured with a picture of 11 Mrs Ward, Wife of the Colonial Treasurer; in her Presentation Gown."" From the extra ordinary predominance of the dress orer thi fair wearer, the little plate would have bean better named, ""Mrs Ward's Presentation Dress, with Wearer."" — Yours ever, Bmmeltnb.",1,1.940320309,https://paperspast.natlib.govt.nz/newspapers/otago-witness/1895/08/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1870-01-19,BH,Bruce Herald,9,Original Correspondence.,"{To the Editor of the Bruce Herald. ) Sir, — Sometime ago a facetious correspon dence took place in your columns with refer ence to the "" Big drum nuisance,"" and I quite approved of the band standing upon their rights at that time. But it occurs to me that the time has now arrived whenthe ""nuisance"" might be abated. In the fine long Saturday evenings what is to prevent the band playing up and down the streets, instead of coupiug themselves up in the Hall ? They have now, attained to a state of efficiency at whi&i they heed not be ashamed to appear in the streets. : The music would be gratifying to a number of .tine inhabitants,, and would also relievb those in the immediate neighborhood of the hall, of the incessant noise which, notwithstanding ""North's"" advocacy, must be inconvenient to men when serving customers. The band may also by and by require some little pecu , niary assistance in some matter or other, and I would just hint that were they to come my way of an evening, I might be the more ready to put my hand in my pocket when; called . upon to do so. But confining their music to .- a hall with closed doors, what interest can tha^ .public take in the band? None whatever*; . indeed they rather feel offended than other? ; wise because they keep all their mWc to themaelvea I am &0., f South Bw». (To the Editor of theßnice Herald:) Sir, — I was not a little surprised a short time ago in reading a letter in the corre spondence columns of one of the Tokomai riro papers, writteu by quite a young man. condemning the action of the elders of a certain church in Tokomairiro. For my own part I do not like to see youth attempt to startle age with threats, etc., and attempt to come down hard on the heads of men whose judgment should be sounder — at least, whose age and position should be honored by younger men. I do not wish to create any ill feeling now ; I merely mention the affair to show that T have respect to men aud their doings, if they are trying to do good without prejudice or favor. Well, sir, it now be comes my gainful duty to condemn in strong terms tha unanimous decision of- your School Con.-miotee, respecting assistance being granted to the Adam's Flat Day school. 1 condemn them the more because they were v nanimous. Surely in all school committees there might be expected to be one able and willing to deal with any matter brought be fore them on its merits That our affair has not been so dealt with, I will very soon con vince you. In the first place then, the Go vernment must have seen that a school would some time be required on the Flat, they having left a school reserve only a short distance from where our school now stands, Have we done wrong in forestalling the Go vernment, in trying to establish that which we feel to be greatly needed ? If so, let that be the committee's excuse, and leave out close proximity to Glenore or the age of the children, which only confirm the argument in our favor. Jf we were in such close prox imity to Glenore, why should we just have gone to such trouble and expense to erect a church for adults ? It strikes me very for cibly that all our School Committee men must be single men. They cannot have any sympathy with young children from four years of age and upwards in wading their way through long grass, over high rocky hills,, in all kinds of weather, three and a-half miles, and some of them over four, rather than in jterfere with the old established school at | Glenore. Thank you, gentlemen, for your ■ unanimous resolution ! very considerate, very ! We do not wish to interfere with any ; old establishment. Ours is a new one, and must be supported and receive Government assistance. If your committee refuse to re cognise us, we must appeal to the district, and try what a petition will do. Their unanimous resolution referred to says, in effect, to us. ""you have built a church, opened a school, gc on now and support it."" ' — I am, &c, LIVEB. j (To the Editor of the Brace Herald ) Sir, — The writer of an article on "" Immi gration"" in the ' Daily Times ' of a recent date, and reproduced in the ' Witness ' of Ist December, laments the scarcity of labor in this Province, and the consequent high rate of wages its employers hare to pay. He goes on to observe that the progress of the ! colony is retarded by all important industries being crippled from this cause, and that we are thus necessitated to import-articles which ought to be produced on the spot. The expression ""ought to be produced,"" &c., seems to me a little vague. He continues, ""The reason for this is still the same ; Great Britain, America, and even the colonies ad jacent to us, produce and supply these articles at prices which defy the competition of the producer here, simply on account of the high rate of wages which he has to pay. All these facts are easily demonstrable."" The last is rather a sweeping assertion and has a tinge of that sort of language about it that men use who are anxious that what they are saying should obtain credence, although they are not at all certain that it is true. May I ask yon to compare the remarks of this writer with the following extract from one of a series of letters, published in the •London Spectator,' by Mr Robert Coningsby, on the Working Classes in the United States : — ""From a long list showing the entire business transacted during three months at the Calif ornian Labor Exchange. I pick out the following few facts, showing wastes actually obtained by people who had just arrived in San Francisco in the enrly part of the summer of 1868. 1844 general laborers were ""found in situations in town and country at rates varying from two dollars to jtwo dollars and a-half per day without board, or from thirty to forty dollars per month with board and lodging ; the dollar in California meaning gold. Thus we find rough and unskilled laborers getting up wards of fifty shillings per week, besides their board and lodging, and savings' banks at hand where ten per cent interest can be ob tained on all they can lay by. * * * * ■ As;ain, I find that 37 engineers were pro vided with work at rates varying from 50 to 80 dollars per month with board ; 1164 farm hands at rates a little higher than the general unskilled laborers, some of them getting as much as 60 dollars with board. 409 carpenters found work at wages varying from 8 to 5 dollars per day; and so on through sheet after sheet of official figures, not issued from a clap-trap advertising agency office, but vouched for by no less a personage than the Governor of the State."" If this account is true, and there seems no reason to doubt its being reliable, how does it bear out the statement in the ' Times' that in America wages are much lower than they are Bere, and will the writer undertake to ex plain how it is that California exports cereals and flour to these colonies, when the wages are not nearly so high- as they are on the western sea-board of the States. It might not perhaps be very difficult to find men who could give a reason for it, but I don't know that it follows that the political economist of the ' Times ' would do so. lam. &c, •3? T.S.R. (To the Editor oi the Bruce Herald.) Sib, — Now that our "" merry Christmas"" and ""happy new. year"" are over for once, more ; .now that the two 'Caledonian com mittees have had their games, and very good ones .too ; now that a suggestion cannot be viewed as intending to injure the exertions' of either, will you allow me to make it through your columns ? Let us have a Caledonian Society formed to manage their things in future. If we had, the misunderstanding which occurred lately would not be repeated, and, successful as our games have hitherto been, they,would no doubt be improved upon next. year. What shall we Bay then ? A public meeting to be convened by these com mittees to institute the society ? I think so, but should they prefer not to do so, I would advise the Barns' anniversary committee to constitue themselves into a* Caledonian Society, and should they manage, the games as well as their celebrations of the Bard, I am very sure the public would be satisfied. I am, &c, Scotia.",1,1.804550249,https://paperspast.natlib.govt.nz/newspapers/bruce-herald/1870/01/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
